vessel,hatchdeck,ffmcodes,codprod,packhouse,idpalet,colpal,datescan,hourscan
00302,01A,611124520,0316,7114H,010757,0352,19-Dec-06,1725
00302,01A,611124520,0316,7114H,010802,0352,19-Dec-06,1726
00302,01A,611124520,0316,7114H,010805,0352,19-Dec-06,1708
00302,01A,611124520,0316,7114H,010808,0352,19-Dec-06,1726
00302,01A,611124520,0316,7114H,010818,0352,21-Dec-06,1727
00302,01A,611124520,0316,7114H,010826,0352,19-Dec-06,1707
00302,01A,611124520,0316,7114H,010847,0352,19-Dec-06,1726
00302,01A,611124520,0316,7114H,010848,0352,19-Dec-06,1736
00302,01A,611124520,0316,7114H,010987,0352,19-Dec-06,1726
00302,01A,611124520,0316,7114H,010991,0352,19-Dec-06,1726
00302,01A,611124520,0316,7710F,017871,0352,19-Dec-06,1741
00302,01A,611124520,0316,7710F,017879,0352,19-Dec-06,1745
00302,01A,611124520,0316,7814R,011919,0352,19-Dec-06,1745
00302,01A,611124520,0316,7814R,012408,0352,19-Dec-06,1741
00302,01A,611124520,0316,7814R,012610,0352,19-Dec-06,1727
00302,01A,611124520,0323,7710F,017872,0352,19-Dec-06,1745
00302,01A,611124520,0323,7710F,017873,0352,19-Dec-06,1741
00302,01A,611124520,0323,7808L,812150,0352,19-Dec-06,1649
00302,01A,611124520,0323,7808L,812534,0352,19-Dec-06,1648
00302,01A,611124520,0323,7814R,012425,0352,19-Dec-06,1727
00302,01A,611124520,0323,7814R,012435,0352,19-Dec-06,1751
00302,01A,611124520,0323,7814R,012438,0352,19-Dec-06,1744
00302,01A,611124520,0330,7114H,010824,0352,19-Dec-06,1708
00302,01A,611124520,0330,7114H,010835,0352,19-Dec-06,1741
00302,01A,611124520,0330,7114H,010978,0352,19-Dec-06,1736
00302,01A,611124520,0330,7404V,008172,0352,19-Dec-06,1649
00302,01A,611124520,0330,7808L,811793,0352,19-Dec-06,1649
00302,01A,611124520,0330,7808L,812968,0352,19-Dec-06,1649
00302,01A,611124520,0330,7814R,011960,0352,19-Dec-06,1745
00302,01A,611124520,0330,7814R,012417,0352,19-Dec-06,1744
00302,01A,611124520,0330,7814R,012434,0352,19-Dec-06,1746
00302,01A,611124520,0330,7814R,012525,0352,19-Dec-06,1736
00302,01A,611124520,0347,7802F,002620,0352,19-Dec-06,1806
00302,01A,611124520,0347,7802F,002702,0352,19-Dec-06,1806
00302,01A,611124520,0347,7804H,006389,0352,19-Dec-06,1648
00302,01A,611124520,0354,7114H,010811,0352,19-Dec-06,1751
00302,01A,611124520,0354,7114H,010962,0352,19-Dec-06,1707
00302,01A,611124520,0354,7404V,007642,0352,19-Dec-06,1806
00302,01A,611124520,0354,7404V,007839,0352,19-Dec-06,1806
00302,01A,611124520,0354,7404V,007854,0352,19-Dec-06,1807
